"date","to_fetch","text"
"2020-07-25 12:24:33",False,"2,000 women lawyers write to #AmitShah seeking 5 Lakh Loan per financially drained lawyer.
#COVID19 #Coronavirus 
https://t.co/JEjVTeCjEn"
"2020-07-25 12:24:31",True,1287000778851454976
"2020-07-25 12:24:27",True,1287000761373724672
"2020-07-25 12:24:26",True,1287000757787594753
"2020-07-25 12:24:25",False,"Let's give it a try #alreadyvideo #COVID19 #HurricaneHanna https://t.co/2HChuAfNHy"
"2020-07-25 12:24:20",True,1287000733825605632
"2020-07-25 12:24:19",True,1287000728746070016
"2020-07-25 12:24:19",True,1287000727022440449
"2020-07-25 12:24:17",True,1287000720194129920
"2020-07-25 12:24:14",False,"The Egyptians ain't got shit on this. #COVID19 https://t.co/kl5lzOJaxO"
"2020-07-25 12:24:13",True,1287000704293322754
"2020-07-25 12:24:11",True,1287000693660774400
"2020-07-25 12:24:11",False,"Not only is the area about to be hit by #hanna a #COVID19 hotspot, but Hurricane Harvey work is ongoing. Still."
"2020-07-25 12:24:10",False,"1.28% of the U.S. population is infected with Covid-19 
#COVID19 
#TrumpVirus 
#MaskItOrCasket"
"2020-07-25 12:24:09",True,1287000686073438208
"2020-07-25 12:24:08",True,1287000682512474115
"2020-07-25 12:24:08",False,".@headout with a dashboard to boost post-#COVID19 #travel https://t.co/0gnRgqvLlh"
"2020-07-25 12:24:05",True,1287000667408736257
"2020-07-25 12:24:00",True,1287000648903532546
"2020-07-25 12:24:00",True,1287000647062233089
"2020-07-25 12:23:57",True,1287000636882468865
"2020-07-25 12:23:56",True,1287000632247738368
"2020-07-25 12:23:55",False,"Highest ever number of new cases yesterday #coronavirus #covid19 #STAYatHOME https://t.co/oovQrvMviY"
"2020-07-25 12:23:54",True,1287000623179759616
"2020-07-25 12:23:53",True,1287000620138979328
"2020-07-25 12:23:53",False,"@bubbaprog 350 school employees exposed to #COVID19 in Manatee County schools over the summer https://t.co/GxiYb61ay0"
"2020-07-25 12:23:52",False,"@BenJamesPhotos Italy #BenPC  #LOCKDOWNPHOTOCHALLENGE #COVID19 https://t.co/27jyDBhbMc"
"2020-07-25 12:23:47",True,1287000594092302337
"2020-07-25 12:23:46",False,"If CM of Madhya Pradesh is tested positive for COVID, then Scindia should also be tested for #COVID19."
"2020-07-25 12:23:45",True,1287000586756399106
"2020-07-25 12:23:44",False,"Bihar witnesses biggest single-day spike of 2,803 new #Covid19 cases

https://t.co/zTPksALE7T https://t.co/979SPKzt3w"
"2020-07-25 12:23:44",False,"Lunch in #Amsterdam away from the mass tourists that have invaded so quickly during the #COVID19 pandemic ! #travel https://t.co/DBCPWA0Ao9"
"2020-07-25 12:23:42",True,1287000574400122881
"2020-07-25 12:23:41",True,1287000568859439114
"2020-07-25 12:23:41",True,1287000567806451712
"2020-07-25 12:23:32",False,"The worst type of spread. #COVID19 #COVIDー19 #COVIDIOTS https://t.co/zyhtCU0A4B"
"2020-07-25 12:23:32",True,1287000529579782145
"2020-07-25 12:23:31",True,1287000524596944898
"2020-07-25 12:23:28",True,1287000514702512128
"2020-07-25 12:23:26",True,1287000506863362054
"2020-07-25 12:23:25",True,1287000502752993282
"2020-07-25 12:23:24",True,1287000498457935873
"2020-07-25 12:23:24",True,1287000498235740161
"2020-07-25 12:23:24",True,1287000497975631874
"2020-07-25 12:23:21",True,1287000483844861953
"2020-07-25 12:23:19",True,1287000475750014978
"2020-07-25 12:23:19",False,"Global fatalities chart for the last 24 hours..#COVID19 

1. Bolsonaro
2. Trump
3. Modi https://t.co/D7BHp4xEE3"
"2020-07-25 12:23:15",True,1287000461120360450
"2020-07-25 12:23:15",True,1287000457492086791
"2020-07-25 12:23:14",True,1287000456397455366
